now_ms, roll, pitch, yaw
86806, 0.02406775, -0.002231303, 18.76218
86916, 0.02658973, -0.004724924, 19.79734
87016, 0.02090325, -0.01229827, 20.67763
87122, 0.0005714201, -0.01159359, 21.66225
87225, -0.003261996, 0.0007610288, 22.68355
87326, -0.0100626, 0.01172112, 23.9402
87431, -0.01391466, -0.0006810167, 24.8161
87532, -0.02280129, -0.003545428, 25.83871
87633, -0.02311174, -0.003649484, 26.86451
87736, -0.02105711, -0.005843132, 27.94654
87838, -0.01693212, -0.00737899, 28.97273
87938, -0.01409438, -0.001540514, 29.98421
88040, -0.01139297, 0.0001029156, 31.01463
88141, -0.01049598, -0.009753372, 32.00111
88243, -0.002314575, -0.00404192, 33.00426
88348, -0.00766962, -0.001813956, 34.02604
88449, -0.01294262, -0.008058744, 35.01699
88550, -0.01027244, 0.0001376804, 35.97868
88654, -0.004527496, -0.0006435718, 36.98732
88756, -0.001476079, 0.003120606, 37.96638
88862, -0.009397849, 0.006496117, 38.98888
88966, -0.01674147, 0.006862406, 39.98081
89067, -0.02669878, 0.004505779, 40.97247
89168, -0.0359998, 0.004797338, 41.9389
89270, -0.02363431, 0.008894294, 42.93093
89375, -0.008785403, 0.003076756, 43.95139
89480, 0.005331275, -0.005713495, 44.97596
89580, 0.01574729, -0.008781258, 45.95096
89683, 0.02102206, -0.002181351, 46.94904
89783, 0.01621929, 0.001970474, 47.92357
89889, 0.01209635, 0.005128058, 48.96877
89993, 0.01205423, 0.004474299, 50.00117
90098, 0.002127936, 0.006971946, 51.01998
90198, -0.006151842, -0.003483193, 51.98747
90298, -0.01299712, -0.006506321, 52.95062
90398, -0.01955289, -0.00904626, 53.91503
90522, -0.02091842, -0.009543927, 55.15593
90624, -0.01234783, 0.002943852, 56.35649
90726, -0.006656722, -0.002230729, 57.0504
90827, -0.005833184, -0.0004410316, 57.96778
90931, -0.01116486, -0.01064376, 58.90568
91031, -0.01127161, -0.006938716, 59.8502
91131, -0.01649627, 6.960224e-05, 60.82041
91231, -0.01449273, 0.008323394, 61.76484
91335, -0.01256821, 0.01868519, 62.77894
91436, -0.003446482, 0.01325733, 63.81185
91537, -0.008126647, 0.009955865, 64.82986
91642, -0.01277374, 0.008659332, 65.90347
91742, -0.01454238, 0.007302351, 66.92513
91842, -0.008778632, -0.005775272, 67.93999
91942, -0.01327011, -0.002423862, 68.94741
92042, -0.006933862, -0.009714034, 69.94843
92147, -0.008116864, -0.009984359, 71.00306
92250, -0.003116708, -0.01455456, 72.01736
92352, -0.00884298, -0.002638686, 73.02064
92454, -0.0127959, 0.004809215, 74.01131
92554, -0.009421487, -0.001787396, 74.96978
92655, 0.00382641, -0.004892033, 75.92743
92757, 0.00191623, -0.01386482, 76.90623
92857, -0.002616484, -0.01192315, 77.87652
92960, -0.007223262, -0.01045239, 78.88572
93064, -0.0120561, -0.0102253, 79.96732
93165, -0.01296401, -0.007433628, 80.90136
93266, -0.02345655, 0.002257952, 81.90867
93366, -0.01859758, 0.004035566, 82.89505
93470, -0.01141559, -0.004060606, 83.91096
93570, -0.004260032, -0.01145921, 84.90586
93670, 0.004773118, -0.01167261, 85.90324
93772, 0.009569703, -0.01320457, 86.927
93875, 0.01650988, -0.00798172, 87.94177
93975, 0.006479444, -0.0006019904, 88.93604
94080, -0.0008690304, -0.00451949, 90.0084
94182, -0.0009835399, -0.000213297, 90.99232
94283, -0.001031425, -0.002374046, 91.97519
94386, 0.003632945, 0.001875906, 92.96738
94487, 0.006149341, 0.004370183, 93.95877
94588, 0.01043365, 0.009531973, 94.92718
94695, 0.004698199, 0.01492081, 95.97105
94799, 0.007885875, 0.01322427, 96.9924
94900, 0.0009928697, 0.006736374, 97.96214
95001, -0.01562294, 0.004809795, 98.94557
95101, -0.02589305, -0.000603534, 99.89668
95201, -0.01444868, -0.005692656, 100.8919
95304, -0.001929957, -0.009208386, 101.8942
95403, 0.01125665, -0.009211593, 102.8533
95503, 0.01924796, -0.003384754, 103.8445
95603, 0.02103958, -0.004568217, 104.8417
95705, 0.02203194, -0.003714321, 105.8694
95809, 0.02383478, -0.001162056, 106.9264
95909, 0.02017957, -0.001878455, 107.9237
96012, -0.0004935859, 0.006201873, 108.956
96114, -0.00902579, -0.0006595618, 109.9657
96216, -0.01422193, 0.007744393, 110.9847
96317, -0.02007905, 0.0008470058, 111.9966
96419, -0.01114688, 0.006325113, 112.9684
96519, -0.01146866, 0.007879875, 113.9368
96619, -0.01256138, 0.009719227, 114.9074
96719, -0.01630412, 0.002531175, 115.9004
96822, -0.01942744, 0.001442312, 116.8833
96922, -0.02315701, 3.719902e-07, 117.8727
97022, -0.02646829, -0.001208307, 118.8682
97126, -0.03022681, 5.391928e-05, 119.9285
97227, -0.03054325, 0.0003527531, 120.9301
97332, -0.01561629, 0.0001228282, 121.9771
97438, -0.01338863, -0.001877091, 123.0151
97543, -0.01319841, 0.006232628, 124.0403
97645, -0.005979422, -0.001092908, 125.0267
97747, -0.0110551, 0.001604567, 126.0013
97847, -0.006639083, -7.206196e-05, 126.9476
97949, 0.003588844, 0.01171129, 127.9215
98049, 0.01754478, 0.003447776, 128.9052
98149, 0.01668246, 0.006892741, 129.841
98251, 0.01291361, 0.003053511, 130.8505
98351, 0.009341343, 0.002930011, 131.8357
98455, 0.005678908, 0.001803744, 132.8603
98557, 0.002089886, 0.0008391305, 133.8806
98658, -0.001379546, 0.005288443, 134.8778
98761, -0.004936514, 0.007359844, 135.9024
98862, -0.008521916, 0.008372451, 136.9206
98963, -0.01614301, 0.005501281, 137.9208
99066, -0.01256251, -0.003644415, 138.9497
99167, -0.01504469, -0.003219426, 139.9558
99268, -0.006521835, -0.008327609, 140.9465
99368, -0.00640125, -0.00823187, 141.9245
99473, -0.005356963, -0.01016437, 142.9791
99577, -0.002012723, -0.01212491, 143.9854
99678, -0.00349196, -0.01136363, 144.9618
